2,Донбаська національна академія будівництва і архітектури,ДОННАБА,0,2070795,Державна,Міністерство освіти і науки України,Академія,ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК,ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК, КРАМАТОРСЬК, КРАМАТОРСЬК, 84333: Лазо 14,+38 (0623) 22-24-67, (095) 388-69-63,akademiya.donnaba@gmail.com,Кравець Василь Анатолійович,Ректор,,,
3,Полтавський національний педагогічний університет імені В.Г. Короленка,ПНПУ,0,31035253,Державна,Міністерство освіти і науки України,Університет,ПОЛТАВСЬКА ОБЛАСТЬ/М.ПОЛТАВА,ПОЛТАВСЬКА ОБЛАСТЬ/М.ПОЛТАВА, ПОЛТАВА, ОКТЯБРСЬКИЙ, 36003: Остроградського 2,0532 225837,allmail@pnpu.edu.ua,Степаненко Микола Іванович,ректор,,,,
4,Донецький національний медичний університет ім. М. Горького,ДОННМУ ім. М. Горького,0,2010698,Державна,Міністерство охорони здоров`я України,Університет,ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК,ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК, КРАСНИЙ ЛИМАН, КРАСНИЙ ЛИМАН, 84404: Привокзальна 27,(062) 6416299,contact@dsmu.edu.ua,Думанський Юрій Васильович,ректор,,,,
5,"Приватний вищий навчальний заклад ""Українсько-американський гуманітарний інститут ""Вісконсинський Міжнародний Університет (США) в Україні""",ВМУУ,0,24265677,Приватна,Без підпорядкування,Інститут,М.КИЇВ,М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ, ШЕВЧЕНКІВСЬКИЙ, 01030: Пирогова 9,(+38044)2160666,442361916,wiuu@wiuu.edu.ua,Романовський Олександр Олексійович,ректор,,,
6,Луганський державний університет внутрішніх справ імені Е.О. Дідоренка,ЛДУВС ім. Е.О. Дідоренка,0,8682387,Державна,Міністерство внутрішніх справ України,Університет,СУМСЬКА ОБЛАСТЬ/М.СУМИ,СУМСЬКА ОБЛАСТЬ/М.СУМИ, СУМИ, ЗАРІЧНИЙ, 40007: Миру 24,(0642)93-50-77, 55-32-00, 53-35-27, 96-99-84,lavd@mail.dsip.net,Комарницький Віталій Мар’янович,ректор,
7,Національний університет біоресурсів і природокористування України,НУБіП України,0,493706,Державна,Міністерство освіти і науки України,Університет,М.КИЇВ,М.КИЇВ, ГОЛОСІЇВСЬКИЙ, ГОЛОСІЇВСЬКИЙ, 03041: Героїв оборони 15,(044) 5278242,2613450,rectorat@nubip.edu.ua,Ніколаєнко Станіслав Миколайович,ректор,,,
9,Національний університет водного господарства та природокористування,НУВГП,0,2071116,Державна,Міністерство освіти і науки України,Університет,РІВНЕНСЬКА ОБЛАСТЬ/М.РІВНЕ,РІВНЕНСЬКА ОБЛАСТЬ/М.РІВНЕ, РІВНЕ, РІВНЕ, 33028: Соборна 11,(0362) 22-12-59,22-21-97,rc@nuwm.edu.ua,Мошинський Віктор Степанович,ректор,,,
10,"Республіканський вищий навчальний заклад ""Кримський гуманітарний університет"" (м. Ялта)",РВНЗ КГУ (м.Ялта),0,25150918,Комунальна,Міністерство освіти і науки, молоді та спорту Автономної Республіки Крим,Університет,АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ,АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ, ЯЛТА, ЯЛТА, 98635:  Севастопольська 2-а,(0654) 32-30-13,institutkgu@mail.ru,Глузман Олександр Володимирович,ректор,,,
11,"Євпаторійський інститут соціальних наук Республіканского вищого навчального закладу ""Кримський гуманітарний університет"" (м. Ялта)",ЄІСН,10,26135766,Комунальна,Міністерство освіти і науки, молоді та спорту Автономної Республіки Крим,Інститут,АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ,АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ, ЄВПАТОРІЯ, ЄВПАТОРІЯ, 97400:  Братів Просмушкіних 6,(06569) 3-02-48,е-mail.kguepf@mail.ru,Глузман Неля Анатоліївна,керівник,,,
13,"Державний заклад ""Луганський державний медичний університет""","ДЗ ""ЛДМУ""",0,2010675,Державна,Міністерство охорони здоров`я України,Університет,ЛУГАНСЬКА ОБЛАСТЬ/М.ЛУГАНСЬК,ЛУГАНСЬКА ОБЛАСТЬ/М.ЛУГАНСЬК, РУБІЖНЕ, РУБІЖНЕ, 93012: Будівельників 32,06453 6-17-32,canclsmu@ukr.net,Іоффе Ігор Володимирович,ректор,,,,
14,"Товариство з обмеженою відповідальністю ""Університет міжнародних інноваційних ідей""","ТОВ ""УМІІ""",0,13493914,Приватна,Без підпорядкування,Інститут,М.КИЇВ,М.КИЇВ, СОЛОМ'ЯНСЬКИЙ, СОЛОМ'ЯНСЬКИЙ, 03056: Ковальський 19, офіс 139 літера А,(044) 4530093; 4530094;,info@uii.org.ua,Грушко Елла Анатоліївна,в.о. ректора,,,
15,Донецький державний інститут здоров'я, фізичного виховання і спорту Національного університету фізичного виховання і спорту України,ДДІЗФВС НУФВСУ,180,38607071,Державна,Міністерство освіти і науки України,Інститут,ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК,М.КИЇВ, М.КИЇВ, М.КИЇВ, 83048: Байдукова 80,(062) 311-48-60,311 09 40,pk-dgizfvs@i.ua,Дубревський Юрій Михайлович,в.о. директора,,
